source,target,Value
K11707,K11710,0.8848350916051452
K11708,K11710,0.8796043679343185
K11709,K11710,0.8629535301139724
K00399,K13933,0.0136162448607276
K00400,K13933,-0.0159362183822789
K02322,K13933,-0.003050224905498
K02663,K13933,0.4536940913990422
K03006,K13933,0.0067041432516985
K03041,K13933,0.0366728938704375
K03042,K13933,-0.0261018699166758
K03231,K13933,0.0344077606197596
K03243,K13933,0.0110760448199782
K03278,K13933,-0.0292320117963585
K03289,K13933,0.0550322886951936
K06932,K13933,-0.0025452821019017
K07463,K13933,0.0025333551894027
K10725,K13933,0.0129889028178248
K11707,K13933,-0.1635394818365963
K11708,K13933,-0.1834336173690581
K11709,K13933,-0.1920511491888767
K11710,K13933,-0.1725674945322685
K00399,K14430,0.0500379337028783
K00400,K14430,0.0572012190137926
K02322,K14430,0.0711910292442799
K02663,K14430,0.0734627220957631
K03006,K14430,0.1549295555799841
K03041,K14430,0.0428433799506624
K03042,K14430,0.0648547000705758
K03231,K14430,0.0823484769539644
K03243,K14430,0.02944931217844
K03278,K14430,-0.0337892789998106
K03289,K14430,-0.0503534740198175
K06932,K14430,0.0445463888465621
K07463,K14430,0.0526712217536275
K10725,K14430,0.0341494700396454
K11707,K14430,0.0166332802925673
K11708,K14430,0.0042666422475753
K11709,K14430,0.0016987004490096
K11710,K14430,0.0136055864093669
K13933,K14430,-0.105236623491835
