source,target,Value
K00381,K01975,0.6594957042480687
K00416,K01975,-0.1799395664849033
K00452,K01975,0.5670842562964874
K00455,K01975,0.6129245155817378
K00528,K01975,0.6190874528259593
K00674,K01975,-0.5726596775168445
K00889,K01975,0.768538151659846
K00906,K01975,0.4203516290637437
K00992,K01975,0.5463803632836985
K01295,K01975,0.624406040733646
K01473,K01975,0.6520155920070908
K01474,K01975,0.6716631974261471
K01512,K01975,0.903461161268758
K01662,K01975,-0.6350600087102982
K01808,K01975,-0.1508321982399796
K01918,K01975,-0.5697276604641219
K00066,K02016,0.3861412083131646
K00132,K02016,0.2589509004917728
K00170,K02016,0.0322497610727347
K00246,K02016,-0.1270573204572837
K00313,K02016,0.200402665941774
K00368,K02016,0.1364944077086202
K00381,K02016,0.1211666394165681
K00416,K02016,-0.2120750324451731
K00452,K02016,0.3064925521152703
K00455,K02016,0.0125917340794296
K00528,K02016,0.2015491135454816
K00674,K02016,-0.0231209570885455
K00889,K02016,0.4091242455842711
K00906,K02016,-0.0088007026923603
K00992,K02016,-0.0482726327034882
K01295,K02016,0.1585098103070614
K01473,K02016,0.0971696453008227
K01474,K02016,0.1155010814709391
K01512,K02016,0.254891076838691
K01662,K02016,0.0490483071713419
K01808,K02016,-0.0208169239451993
K01918,K02016,0.0328859643138446
K01975,K02016,0.2746374323096749
K00066,K02017,0.5575924470202369
K00132,K02017,0.5577261001442636
K00170,K02017,0.6022474613494243
K00246,K02017,0.6034658931034762
K00313,K02017,0.4699255202850377
K00368,K02017,0.6510659543665345
K00381,K02017,0.8800872335319349
K00416,K02017,-0.180672736780751
K00452,K02017,0.6603713903233089
K00455,K02017,0.6157687840126638
K00528,K02017,0.8178725568605997
K00674,K02017,-0.4394421230356426
K00889,K02017,0.6643116307323903
K00906,K02017,0.8244767903988063
K00992,K02017,0.5803901198691322
K01295,K02017,0.7844593264505915
K01473,K02017,0.7917747834583934
K01474,K02017,0.8036527203327793
K01512,K02017,0.6179638694697903
K01662,K02017,-0.4959523681035182
K01808,K02017,-0.3177526766310418
K01918,K02017,-0.3848250626582097
K01975,K02017,0.5567306909666243
K02016,K02017,0.1187233020042592
K00066,K02020,0.577293092417313
K00132,K02020,0.5927797585473642
K00170,K02020,0.6117531607382699
K00246,K02020,0.5885222810046478
K00313,K02020,0.5028374953385012
K00368,K02020,0.6778207969704598
K00381,K02020,0.8321089110936235
K00416,K02020,-0.1537826425557413
K00452,K02020,0.7103101535457944
K00455,K02020,0.6463361343906879
K00528,K02020,0.794856985239743
K00674,K02020,-0.4666174115533119
K00889,K02020,0.6934230285889427
K00906,K02020,0.7346906341228789
K00992,K02020,0.5607416061895278
K01295,K02020,0.7322170217635436
K01473,K02020,0.8142216773426731
K01474,K02020,0.8264105804722862
K01512,K02020,0.6400295535194028
K01662,K02020,-0.5409639200485925
K01808,K02020,-0.2980977286441881
K01918,K02020,-0.3684826252350403
K01975,K02020,0.5827273263485044
K02016,K02020,0.2025414787631238
K02017,K02020,0.9532335755395448
K00066,K02037,-0.4344592923819736
K00132,K02037,-0.5890866334373506
K00170,K02037,-0.2832983027766034
K00246,K02037,-0.1741216199982536
K00313,K02037,-0.2839165826838994
K00368,K02037,-0.3787855765229776
K00381,K02037,-0.4183224926478315
K00416,K02037,0.3096184799218711
K00452,K02037,-0.625671479975248
K00455,K02037,-0.4064790241468579
K00528,K02037,-0.4693277597714795
K00674,K02037,0.4040347032243433
K00889,K02037,-0.5878171519701522
K00906,K02037,-0.4111043233187744
K00992,K02037,-0.4384008113349277
K01295,K02037,-0.2852908775673505
K01473,K02037,-0.2217324363170649
K01474,K02037,-0.2292459844004946
K01512,K02037,-0.3103968766573964
K01662,K02037,0.3572158966262319
K01808,K02037,0.1963533861696328
K01918,K02037,0.3234042091350073
K01975,K02037,-0.3476332163878615
K02016,K02037,-0.356553834418741
K02017,K02037,-0.3696881975333748
K02020,K02037,-0.4027294097576049
K00066,K02039,-0.2082903064842843
K00132,K02039,-0.4502821853941245
K00170,K02039,-0.0450725807631093
K00246,K02039,0.0266981522627621
K00313,K02039,-0.0940740321536117
K00368,K02039,-0.1408223149980591
K00381,K02039,-0.1737823952411073
K00416,K02039,0.230387708356462
K00452,K02039,-0.4595433353647886
K00455,K02039,-0.2248034687918266
K00528,K02039,-0.233077110933307
K00674,K02039,0.2995702019073127
K00889,K02039,-0.3842751020644553
K00906,K02039,-0.1800102799289887
K00992,K02039,-0.2251902893599308
K01295,K02039,-0.0739212883366273
K01473,K02039,0.0005240696020251
K01474,K02039,-0.0028296635568827
K01512,K02039,-0.0857945136678681
K01662,K02039,0.1532512396240277
K01808,K02039,0.1814982153774731
K01918,K02039,0.2524908753194537
K01975,K02039,-0.1173531447999983
K02016,K02039,-0.3274915730439931
K02017,K02039,-0.1176770660467509
K02020,K02039,-0.1525690474268728
K02037,K02039,0.8949000120166575
K00066,K02068,0.5349684233709153
K00132,K02068,0.6104132035168331
K00170,K02068,0.7325265530564626
K00246,K02068,0.6777045759304907
K00313,K02068,0.762848626058875
K00368,K02068,0.6274547807170432
K00381,K02068,0.4833817230353232
K00416,K02068,-0.2112310601130445
K00452,K02068,0.3973175383680616
K00455,K02068,0.6719970401151839
K00528,K02068,0.4245453650407396
K00674,K02068,-0.6607690244958012
K00889,K02068,0.5490881209419366
K00906,K02068,0.3422623362355648
K00992,K02068,0.5199261317697231
K01295,K02068,0.5197238766323695
K01473,K02068,0.6349420222758182
K01474,K02068,0.6435461263918694
K01512,K02068,0.6416416385444202
K01662,K02068,-0.6367360419383057
K01808,K02068,-0.2650899996691923
K01918,K02068,-0.618086447473689
K01975,K02068,0.7105247856601113
K02016,K02068,0.0932324671730461
K02017,K02068,0.4432370033637051
K02020,K02068,0.4938601911702686
K02037,K02068,-0.2297232867118506
K02039,K02068,-0.0368194187122912
K00066,K02182,0.51865829587575
K00132,K02182,0.5530379401900307
K00170,K02182,0.5355298657369805
K00246,K02182,0.6469975781042527
K00313,K02182,0.5881157215897641
K00368,K02182,0.5649015222288954
K00381,K02182,0.6677153438473459
K00416,K02182,-0.4403750952777929
K00452,K02182,0.4506878245069878
K00455,K02182,0.52113674613956
K00528,K02182,0.6777534431366072
K00674,K02182,-0.4849654779190643
K00889,K02182,0.5107251285020497
