source,target,Value
K00480,K00767,-0.3670161139673334
K00561,K00767,-0.6733825117971459
K00563,K00767,-0.741552147039952
K00663,K00767,-0.8728552951113927
K00677,K00767,0.9594155844155844
K00705,K00767,0.881617366373464
K00029,K00777,-0.6468937566498543
K00104,K00777,-0.5762179893277454
K00208,K00777,-0.5839790291009803
K00278,K00777,-0.6611457648043014
K00432,K00777,-0.5972731536755927
K00480,K00777,0.3624830454098747
K00561,K00777,0.6678296297198736
K00563,K00777,0.7011702728166143
K00663,K00777,0.6394286607701242
K00677,K00777,-0.6846552837406497
K00705,K00777,-0.6089982172299245
K00767,K00777,-0.6585299862738887
K00029,K00856,0.8930642528203504
K00104,K00856,0.8707730277852229
K00208,K00856,0.8764685517734299
K00278,K00856,0.8259469189347239
K00432,K00856,0.894536357950992
K00480,K00856,-0.3563362450557572
K00561,K00856,-0.5052782583270389
K00563,K00856,-0.5833658211706992
K00663,K00856,-0.8174711467394395
K00677,K00856,0.8779254282303062
K00705,K00856,0.7584026745612111
K00767,K00856,0.8664287947824534
K00777,K00856,-0.5346294965197403
K00029,K00897,-0.7831218578169798
K00104,K00897,-0.6307599920404798
K00208,K00897,-0.7662555939994964
K00278,K00897,-0.793641318031562
K00432,K00897,-0.7126963483670801
K00480,K00897,0.4586465363904389
K00561,K00897,0.7128933058811108
K00563,K00897,0.8091598442208199
K00663,K00897,0.8108273839981158
K00677,K00897,-0.7954550530770044
K00705,K00897,-0.8096882792004744
K00767,K00897,-0.7963398390227657
K00777,K00897,0.6722728491021174
K00856,K00897,-0.648796325625594
K00029,K00984,-0.6899376030473592
K00104,K00984,-0.580019573922013
K00208,K00984,-0.6342118247606051
K00278,K00984,-0.7058891311940092
K00432,K00984,-0.6308478107258595
K00480,K00984,0.3819955451053012
K00561,K00984,0.6974519383055969
K00563,K00984,0.7590377102572224
K00663,K00984,0.6514699731163146
K00677,K00984,-0.7230411864558206
K00705,K00984,-0.6632767638865199
K00767,K00984,-0.7021596289888973
K00777,K00984,0.9502839640034764
K00856,K00984,-0.570514343380197
K00897,K00984,0.7167202715983204
K00029,K01044,-0.7485121585731341
K00104,K01044,-0.605065158418817
K00208,K01044,-0.6839050177464812
K00278,K01044,-0.7702952535269608
K00432,K01044,-0.6995534952852026
K00480,K01044,0.3385481388530169
K00561,K01044,0.6623945160530527
K00563,K01044,0.7441171633244804
K00663,K01044,0.719059903511123
K00677,K01044,-0.7573458046019022
K00705,K01044,-0.7225447316910731
K00767,K01044,-0.7444389959633863
K00777,K01044,0.7383282368038466
K00856,K01044,-0.6184998944145286
K00897,K01044,0.6824755529023822
K00984,K01044,0.7544970273628809
K00029,K01051,0.917591047164218
K00104,K01051,0.7475735646467354
K00208,K01051,0.924750554323725
K00278,K01051,0.9222555899385168
K00432,K01051,0.8636856030148713
K00480,K01051,-0.2944296557101435
K00561,K01051,-0.6790820967650236
K00563,K01051,-0.7470192409216799
K00663,K01051,-0.8072232645403378
K00677,K01051,0.9253312744166402
K00705,K01051,0.8842788309251726
K00767,K01051,0.9271089682675048
K00777,K01051,-0.6132251894447016
K00856,K01051,0.7971789389472317
K00897,K01051,-0.807559310608091
K00984,K01051,-0.6891284528479651
K01044,K01051,-0.750209140453043
K00029,K01205,0.8718862438374634
K00104,K01205,0.7775009543302226
K00208,K01205,0.8322962606499191
K00278,K01205,0.8167807801954143
K00432,K01205,0.7970246217197438
K00480,K01205,-0.4363238387628632
K00561,K01205,-0.6083672425135841
K00563,K01205,-0.661802120643584
K00663,K01205,-0.81465231922549
K00677,K01205,0.8734304313572607
K00705,K01205,0.8538651389261147
K00767,K01205,0.8386994103457517
K00777,K01205,-0.6046773348602618
K00856,K01205,0.80204094685802
K00897,K01205,-0.7279636014392112
K00984,K01205,-0.6335503926967342
K01044,K01205,-0.7020479520479521
K01051,K01205,0.8100441225441225
K00029,K01212,0.9093330450037768
K00104,K01212,0.7329230728620972
K00208,K01212,0.9148245047635292
K00278,K01212,0.9144514022562804
K00432,K01212,0.8474599587404467
K00480,K01212,-0.3465670508353435
K00561,K01212,-0.6902863396765836
K00563,K01212,-0.7522020662264565
K00663,K01212,-0.8005744255744255
K00677,K01212,0.9204129204129204
K00705,K01212,0.8935860887080399
K00767,K01212,0.9081223654394388
K00777,K01212,-0.6074565678224214
K00856,K01212,0.7777461359778434
K00897,K01212,-0.7918976348854397
K00984,K01212,-0.6867801913533621
K01044,K01212,-0.7606651478602698
K01051,K01212,0.9360817028499956
K01205,K01212,0.8207437887315937
K00029,K01213,0.9618141005336128
K00104,K01213,0.8273251139104798
K00208,K01213,0.9534667568204154
K00278,K01213,0.9277983195666122
K00432,K01213,0.9144453107867742
K00480,K01213,-0.3266692656936559
K00561,K01213,-0.655407092907093
K00563,K01213,-0.7155628923921608
K00663,K01213,-0.8451756576756577
K00677,K01213,0.9623009104716422
K00705,K01213,0.8937018266286559
K00767,K01213,0.9456823664140735
K00777,K01213,-0.6175902349682837
K00856,K01213,0.8753421375372594
K00897,K01213,-0.7923001794953014
K00984,K01213,-0.6772318129025446
K01044,K01213,-0.7515320045807851
K01051,K01213,0.9629658958927252
K01205,K01213,0.8512427613037368
K01212,K01213,0.9338456259187968
K00029,K01304,-0.8759522997327875
K00104,K01304,-0.7652149679588705
K00208,K01304,-0.8413116355189526
K00278,K01304,-0.8718075623563429
K00432,K01304,-0.8353110304329817
K00480,K01304,0.4255657959926252
K00561,K01304,0.6671610909415788
K00563,K01304,0.7655626893431772
K00663,K01304,0.8496544106300203
K00677,K01304,-0.8723172153050202
K00705,K01304,-0.8242976535659462
K00767,K01304,-0.8816001072098633
K00777,K01304,0.6727119425290158
K00856,K01304,-0.7817578762700714
K00897,K01304,0.8235519561739074
K00984,K01304,0.7029814697497625
K01044,K01304,0.734780463439
K01051,K01304,-0.838235951040829
K01205,K01304,-0.7925956157663475
K01212,K01304,-0.8293495122763415
K01213,K01304,-0.8654389309877115
K00029,K01627,0.9539124493392788
K00104,K01627,0.8410359965238013
K00208,K01627,0.9339882678297312
K00278,K01627,0.9447798136822528
K00432,K01627,0.9072908798518554
K00480,K01627,-0.3126624391868295
K00561,K01627,-0.6544202748471042
K00563,K01627,-0.7200741331838892
K00663,K01627,-0.8495153220762977
K00677,K01627,0.9645989173428198
K00705,K01627,0.8788929566368592
K00767,K01627,0.9469717274595324
K00777,K01627,-0.630724458468361
K00856,K01627,0.8701745409062481
K00897,K01627,-0.7879584846048261
K00984,K01627,-0.6740840460352655
K01044,K01627,-0.744241023204438
K01051,K01627,0.921352529584237
K01205,K01627,0.8334216596411719
K01212,K01627,0.9075431682139
K01213,K01627,0.9488382552406942
K01304,K01627,-0.8546016991138942
K00029,K01629,0.8655587298879981
K00104,K01629,0.7243163340724317
K00208,K01629,0.8228727573239769
