gene571	K13172
gene572	K13177
gene573	K13179
gene574	K13181
gene575	K13183
gene576	K13201
gene577	K13207
gene578	K13210
gene579	K13254
gene580	K13412
gene581	K13421
gene582	K13431
gene583	K13511
gene584	K13519
gene585	K13537
gene586	K13617
gene587	K13721
gene588	K13722
gene589	K13754
gene590	K13800
gene591	K13806
gene592	K13887
gene593	K13941
gene594	K13989
gene595	K13998
gene596	K14005
gene597	K14006
gene598	K14007
gene599	K14015
gene600	K14156
gene601	K14213
gene602	K14290
gene603	K14292
gene604	K14293
gene605	K14299
gene606	K14306
gene607	K14319
gene608	K14376
gene609	K14387
gene610	K14402
gene611	K14408
gene612	K14411
gene613	K14429
gene614	K14442
gene615	K14455
gene616	K14457
gene617	K14458
gene618	K14521
gene619	K14536
gene620	K14537
gene621	K14538
gene622	K14539
gene623	K14548
gene624	K14550
gene625	K14552
gene626	K14553
gene627	K14554
gene628	K14555
gene629	K14556
gene630	K14558
gene631	K14559
gene632	K14560
gene633	K14561
gene634	K14563
gene635	K14564
gene636	K14565
gene637	K14566
gene638	K14567
gene639	K14568
gene640	K14569
gene641	K14574
gene642	K14655
gene643	K14676
gene644	K14684
gene645	K14688
gene646	K14692
gene647	K14715
gene648	K14724
gene649	K14753
gene650	K14758
gene651	K14768
gene652	K14769
gene653	K14771
gene654	K14772
gene655	K14774
gene656	K14775
gene657	K14776
gene658	K14777
gene659	K14779
gene660	K14780
gene661	K14781
gene662	K14785
gene663	K14786
gene664	K14787
gene665	K14788
gene666	K14791
gene667	K14792
gene668	K14794
gene669	K14797
gene670	K14799
gene671	K14801
gene672	K14802
gene673	K14805
gene674	K14806
gene675	K14807
gene676	K14808
gene677	K14809
gene678	K14810
gene679	K14815
gene680	K14818
gene681	K14820
gene682	K14824
gene683	K14826
gene684	K14827
gene685	K14831
gene686	K14832
gene687	K14833
gene688	K14834
gene689	K14835
gene690	K14837
gene691	K14838
gene692	K14841
gene693	K14842
gene694	K14843
gene695	K14844
gene696	K14846
gene697	K14847
gene698	K14848
gene699	K14850
gene700	K14856
gene701	K14857
gene702	K14861
gene703	K14863
gene704	K14864
gene705	K14950
gene706	K14997
gene707	K15013
gene708	K15025
gene709	K15102
gene710	K15104
gene711	K15105
gene712	K15108
gene713	K15109
gene714	K15111
gene715	K15112
gene716	K15113
gene717	K15115
gene718	K15116
gene719	K15118
gene720	K15119
gene721	K15146
gene722	K15172
gene723	K15190
gene724	K15223
